class,species,common.name,latitude,longitute,temp,NPP,daylength,mass.g,FMR.kJ.day,diet,reference,notes
Mammals,Sciurus carolinensis,Grey squirrel,56.56666667,-3.666666667,5.658334096,2.85484,,588,574,omn,16,
Mammals,Sekeetamys calurus,Bushy-tailed jird,31.46666667,35.38333333,17.6,,12.29448814,41.2,44,omn,"108, 32",
Mammals,Setonix brachyurus,Quokka,-32,116,22.5,1.25484,13.87904748,1507,486,herb,"108, 97",
Mammals,Setonix brachyurus,Quokka,-32,116,22.5,1.25484,13.87904748,2472,662,herb,"108, 97",
Mammals,Sminthopsis crassicaudata,Narrow-footed marsup. Mouse/ Fat-tailed dunnat,-37.9,144.6666667,14.2,5.35742,13.32203884,16.6,68.6,carn,"108, 96",
Mammals,Spermophilus saturatus,Golden-mantled ground sqrl.,47.81666667,-120.6666667,13,2.83258,15.47516878,214,226,herb,"108, 72",
Mammals,Suricata suricatta,Meerkat,-25.9,21.8,23.43333333,1.91677,13.47002904,761.8,549,carn,128,
Mammals,Syconycteris australis,Common blossom bat,-29.21666667,153.35,16,9.71484,10.14439454,17.4,76.9,herb,"134, 47",
Mammals,Tachyglosssus aculeatus,Echidna,-36,137,15.15,2.23387,,2860,875,carn,"108, 54",
Mammals,Tamias striatus,Eastern chipmunk,36,-84,11.75555556,7.46484,,96.3,143,omn,"108, 119",
Mammals,Tamiasciurus hudsonicus,Red squirrel,56.56666667,-3.666666667,5.658334096,2.85484,,322,347,omn,16,
Mammals,Tarsipes rostratus,Honey possum,-30.16666667,119.5166667,11,0.8029,10.85966251,9.9,34.4,nect,"108, 102",
Mammals,Thomomys bottae,Botta's pocket gopher,33.75,-116.75,14.9,0.96935,,104,130,herb,"108, 48",
Mammals,Thylogale billiardieri,Red-bellied wallaby/ Tasmanian pademelon,-37,145,18.4,4.72419,14.51494742,5980,1630,herb,"108, 97",
Mammals,Trichosurus arnhemensis,Northern brush possum,-20.75,115.3333333,25.5,,13.10145323,1103,324,herb,98,
Mammals,Vulpes cana,Blanford's fox,31.46666667,35.38333333,18.62,,,972,642,carn,"108, 46",
Mammals,Vulpes macrotis,Kit fox,34,-115.5,18.7,0.18516,,1480,1180,carn,"108, 50",
Mammals,Vulpes velox,Swift fox,37,-105,-2.6,3.86065,9.723208258,1990,1488,carn,"108, 27",
Mammals,Vulpes velox,Swift fox,37,-105,14.2,3.86065,13.48221099,2200,2079,carn,"108, 27",
Mammals,Zyzomys argurus,Rock rat,-20.75,115.3333333,25.86666667,,,46.8,15.6,herb,"134, 10",
